event_time,event_type,product_id,price,user_id,user_session
2023-02-01 00:15:31 UTC,view,5799881,0.57,443490518,8f2f25b1-4686-44f8-96a5-c33799793be9
2023-02-01 00:15:40 UTC,view,5854370,11.05,608824150,240f1afe-f3e3-46c5-bffb-1a0a76aeb606
2023-02-01 00:15:46 UTC,view,5668003,7.86,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2023-02-01 00:15:49 UTC,cart,5896610,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:15:52 UTC,remove_from_cart,5751383,10.32,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:15:52 UTC,remove_from_cart,5751383,10.32,602335606,3412e650-1aaf-4db7-baec-39db232948b6
2023-02-01 00:16:01 UTC,view,37457,9.44,525649326,ad5c68a3-0b4a-4846-ad5c-f420cab3afea
2023-02-01 00:16:03 UTC,view,5846370,4.14,608178725,0dfadffd-2c77-4a7f-afbc-2c1e0cebd504
2023-02-01 00:16:08 UTC,view,5811708,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:16:18 UTC,view,5879279,3.95,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:16:25 UTC,view,5774337,4.13,578529898,d7bd506d-7a5c-45c0-b2b8-bdd67450ab26
2023-02-01 00:16:27 UTC,cart,5842142,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:16:30 UTC,cart,5896614,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:16:31 UTC,view,5841326,3.95,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:16:35 UTC,cart,5844398,2.38,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:16:40 UTC,view,5879278,3.95,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:16:40 UTC,view,5811666,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:16:43 UTC,cart,5896613,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:16:47 UTC,cart,5904543,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:16:57 UTC,cart,5725672,0.48,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:16:58 UTC,view,5841320,3.95,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:17:00 UTC,view,5659770,0.95,608306625,fe26c378-86d6-4b03-aa3d-702d2c012371
2023-02-01 00:17:04 UTC,view,5879278,3.95,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:17:07 UTC,view,5841326,3.95,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:17:10 UTC,view,5811704,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
